artist,track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Papa Roach,Last Resort,0.589,0.89,4,-3.719,0,0.0603,0.000481,0.00082,0.201,0.692,90.598,audio_features,5W8YXBz9MTIDyrpYaCg2Ky,spotify:track:5W8YXBz9MTIDyrpYaCg2Ky,https://api.spotify.com/v1/tracks/5W8YXBz9MTIDyrpYaCg2Ky,https://api.spotify.com/v1/audio-analysis/5W8YXBz9MTIDyrpYaCg2Ky,199907,4
Roy Jones Jr.,Body Head Anthem (feat. Mr. Magic & Choppa),0.855,0.712,1,-6.17,1,0.161,0.0903,0,0.0873,0.557,92.486,audio_features,4EcF55fGcfwbZhGM7K1yLA,spotify:track:4EcF55fGcfwbZhGM7K1yLA,https://api.spotify.com/v1/tracks/4EcF55fGcfwbZhGM7K1yLA,https://api.spotify.com/v1/audio-analysis/4EcF55fGcfwbZhGM7K1yLA,231573,4
Paul Stanley,Live To Win,0.541,0.91,5,-3.879,0,0.0639,0.0132,0,0.578,0.493,127.099,audio_features,74inHQGjQj6w630tZ9wb2J,spotify:track:74inHQGjQj6w630tZ9wb2J,https://api.spotify.com/v1/tracks/74inHQGjQj6w630tZ9wb2J,https://api.spotify.com/v1/audio-analysis/74inHQGjQj6w630tZ9wb2J,187360,4
Onlap,Out of My Way,0.349,0.968,1,-2.734,0,0.129,0.00116,0,0.226,0.481,199.9,audio_features,152yLjLT2T0W8kf2hutvo1,spotify:track:152yLjLT2T0W8kf2hutvo1,https://api.spotify.com/v1/tracks/152yLjLT2T0W8kf2hutvo1,https://api.spotify.com/v1/audio-analysis/152yLjLT2T0W8kf2hutvo1,224596,4
Wiz Khalifa,Go Hard or Go Home,0.651,0.741,4,-5.067,0,0.0408,0.00293,1.2e-05,0.217,0.386,168.02,audio_features,4IXiFMhtXEbSEG8UoAeTwD,spotify:track:4IXiFMhtXEbSEG8UoAeTwD,https://api.spotify.com/v1/tracks/4IXiFMhtXEbSEG8UoAeTwD,https://api.spotify.com/v1/audio-analysis/4IXiFMhtXEbSEG8UoAeTwD,232773,4
Bonez,Warrior (Ultimate Fighter Theme),0.612,0.889,9,-5.793,0,0.0431,0.0166,0,0.469,0.442,130.07,audio_features,3vTweVhyRgJIjthsLnynQs,spotify:track:3vTweVhyRgJIjthsLnynQs,https://api.spotify.com/v1/tracks/3vTweVhyRgJIjthsLnynQs,https://api.spotify.com/v1/audio-analysis/3vTweVhyRgJIjthsLnynQs,200538,4
The Red Jumpsuit Apparatus,False Pretense,0.509,0.93,0,-2.689,0,0.0474,0.00137,0,0.152,0.783,154.946,audio_features,2ZICF8SFI5tHttaLJKMY1X,spotify:track:2ZICF8SFI5tHttaLJKMY1X,https://api.spotify.com/v1/tracks/2ZICF8SFI5tHttaLJKMY1X,https://api.spotify.com/v1/audio-analysis/2ZICF8SFI5tHttaLJKMY1X,149640,4
Fear of Water,Pray For Yourself,0.478,0.922,2,-3.569,1,0.0641,0.000129,0,0.236,0.201,106.035,audio_features,0nljI5fz7m9venyB86zBye,spotify:track:0nljI5fz7m9venyB86zBye,https://api.spotify.com/v1/tracks/0nljI5fz7m9venyB86zBye,https://api.spotify.com/v1/audio-analysis/0nljI5fz7m9venyB86zBye,256698,4
Rise Against,Under The Knife,0.572,0.984,10,-3.847,0,0.0626,0.00052,2.48e-06,0.044,0.524,104.345,audio_features,7ycK2uijskzxp4cGpGNoCi,spotify:track:7ycK2uijskzxp4cGpGNoCi,https://api.spotify.com/v1/tracks/7ycK2uijskzxp4cGpGNoCi,https://api.spotify.com/v1/audio-analysis/7ycK2uijskzxp4cGpGNoCi,165173,4
Prophit,This My Club (DJ Lil Prince Remix),0.852,0.921,6,-5.164,0,0.0419,0.159,0,0.0546,0.63,110.005,audio_features,1rfgs4royNOYxw269vuTTT,spotify:track:1rfgs4royNOYxw269vuTTT,https://api.spotify.com/v1/tracks/1rfgs4royNOYxw269vuTTT,https://api.spotify.com/v1/audio-analysis/1rfgs4royNOYxw269vuTTT,186541,4
